"APPLICATION_NUMBER","WATER_RIGHT_ID","YEAR","MONTH","AMOUNT","DIVERSION_TYPE","ASSIGNED_PRIORITY_DATE"
"A012510",3126,2022,2,0,"DIRECT","19480514"
"A012510",3126,2022,2,0,"STORAGE","19480514"
"A012510",3126,2022,3,0,"DIRECT","19480514"
"A012510",3126,2022,3,0,"STORAGE","19480514"
"A012510",3126,2022,4,0,"DIRECT","19480514"
"A012510",3126,2022,4,0,"STORAGE","19480514"
"A012510",3126,2022,5,0,"DIRECT","19480514"
"A012510",3126,2022,5,0,"STORAGE","19480514"
"A012510",3126,2022,6,0,"DIRECT","19480514"
"A012510",3126,2022,6,0,"STORAGE","19480514"
"A012510",3126,2022,7,0,"DIRECT","19480514"
"A012510",3126,2022,7,0,"STORAGE","19480514"
"A012510",3126,2022,8,0,"DIRECT","19480514"
"A012510",3126,2022,8,0,"STORAGE","19480514"
"A012510",3126,2022,9,0,"DIRECT","19480514"
"A012510",3126,2022,9,0,"STORAGE","19480514"
"A012510",3126,2022,10,0,"DIRECT","19480514"
"A012510",3126,2022,10,0,"STORAGE","19480514"
"A012510",3126,2022,11,0,"DIRECT","19480514"
"A012510",3126,2022,11,0,"STORAGE","19480514"
"A012510",3126,2022,12,0,"DIRECT","19480514"
"A012510",3126,2022,12,0,"STORAGE","19480514"
"A013182B",3391,2017,1,0,"STORAGE","19490629"
"A013182B",3391,2017,1,0,"DIRECT","19490629"
"A013182B",3391,2017,2,0,"STORAGE","19490629"
"A013182B",3391,2017,2,0,"DIRECT","19490629"
"A013182B",3391,2017,3,0,"STORAGE","19490629"
"A013182B",3391,2017,3,0,"DIRECT","19490629"
"A013182B",3391,2017,4,0,"STORAGE","19490629"
"A013182B",3391,2017,4,0,"DIRECT","19490629"
"A013182B",3391,2017,5,1.4,"DIRECT","19490629"
"A013182B",3391,2017,5,0,"STORAGE","19490629"
"A013182B",3391,2017,6,2.9,"DIRECT","19490629"
"A013182B",3391,2017,6,0,"STORAGE","19490629"
"A013182B",3391,2017,7,6,"DIRECT","19490629"
"A013182B",3391,2017,7,0,"STORAGE","19490629"
"A013182B",3391,2017,8,0,"STORAGE","19490629"
"A013182B",3391,2017,8,5.9,"DIRECT","19490629"
"A013182B",3391,2017,9,0,"STORAGE","19490629"
"A013182B",3391,2017,9,4.3,"DIRECT","19490629"
"A013182B",3391,2017,10,2.7,"DIRECT","19490629"
"A013182B",3391,2017,10,0,"STORAGE","19490629"
"A013182B",3391,2017,11,0,"STORAGE","19490629"
"A013182B",3391,2017,11,0,"DIRECT","19490629"
"A013182B",3391,2017,12,0,"STORAGE","19490629"
"A013182B",3391,2017,12,0,"DIRECT","19490629"
"A013182B",3391,2018,1,0,"DIRECT","19490629"
"A013182B",3391,2018,1,0,"STORAGE","19490629"
"A013182B",3391,2018,2,0,"STORAGE","19490629"
"A013182B",3391,2018,2,0,"DIRECT","19490629"
"A013182B",3391,2018,3,0,"STORAGE","19490629"
"A013182B",3391,2018,3,0,"DIRECT","19490629"
"A013182B",3391,2018,4,0,"STORAGE","19490629"
"A013182B",3391,2018,4,0,"DIRECT","19490629"
"A013182B",3391,2018,5,1.6,"DIRECT","19490629"
"A013182B",3391,2018,5,0,"STORAGE","19490629"
"A013182B",3391,2018,6,3.4,"DIRECT","19490629"
"A013182B",3391,2018,6,0,"STORAGE","19490629"
"A013182B",3391,2018,7,0,"STORAGE","19490629"
"A013182B",3391,2018,7,4.7,"DIRECT","19490629"
"A013182B",3391,2018,8,0,"STORAGE","19490629"
"A013182B",3391,2018,8,6.1,"DIRECT","19490629"
"A013182B",3391,2018,9,4.2,"DIRECT","19490629"
"A013182B",3391,2018,9,0,"STORAGE","19490629"
"A013182B",3391,2018,10,0,"STORAGE","19490629"
"A013182B",3391,2018,10,1.8,"DIRECT","19490629"
"A013182B",3391,2018,11,0,"STORAGE","19490629"
"A013182B",3391,2018,11,0,"DIRECT","19490629"
"A013182B",3391,2018,12,0,"DIRECT","19490629"
"A013182B",3391,2018,12,0,"STORAGE","19490629"
"A013182B",3391,2019,1,0,"DIRECT","19490629"
"A013182B",3391,2019,1,0,"STORAGE","19490629"
"A013182B",3391,2019,2,0,"DIRECT","19490629"
"A013182B",3391,2019,2,0,"STORAGE","19490629"
"A013182B",3391,2019,3,0,"DIRECT","19490629"
"A013182B",3391,2019,3,0,"STORAGE","19490629"
"A013182B",3391,2019,4,0,"STORAGE","19490629"
"A013182B",3391,2019,4,0,"DIRECT","19490629"
"A013182B",3391,2019,5,0,"STORAGE","19490629"
"A013182B",3391,2019,5,0.6,"DIRECT","19490629"
"A013182B",3391,2019,6,0,"STORAGE","19490629"
"A013182B",3391,2019,6,2,"DIRECT","19490629"
"A013182B",3391,2019,7,0,"STORAGE","19490629"
"A013182B",3391,2019,7,4.5,"DIRECT","19490629"
"A013182B",3391,2019,8,0,"STORAGE","19490629"
"A013182B",3391,2019,8,6,"DIRECT","19490629"
"A013182B",3391,2019,9,5.4,"DIRECT","19490629"
"A013182B",3391,2019,9,0,"STORAGE","19490629"
"A013182B",3391,2019,10,0,"STORAGE","19490629"
"A013182B",3391,2019,10,2.9,"DIRECT","19490629"
"A013182B",3391,2019,11,0,"DIRECT","19490629"
"A013182B",3391,2019,11,0,"STORAGE","19490629"
"A013182B",3391,2019,12,0,"DIRECT","19490629"
"A013182B",3391,2019,12,0,"STORAGE","19490629"
