APPLICATION_NUMBER,WATER_RIGHT_TYPE
A024764,Appropriative
A023791,Appropriative
A018055,Appropriative
A030098,Appropriative
A017998,Appropriative
A015154A,Appropriative
A015154B,Appropriative
S015731,Statement of Div and Use
A009428,Appropriative
A009428,Appropriative
A009429,Appropriative
A020654,Appropriative
A016396,Appropriative
A019094,Appropriative
S010926,Statement of Div and Use
S015301,Statement of Div and Use
S018364,Statement of Div and Use
A020382,Appropriative
A020382,Appropriative
A020382,Appropriative
A023458,Appropriative
S025778,Statement of Div and Use
S023121,Statement of Div and Use
A029573,Appropriative
A009376,Appropriative
A015874,Appropriative
A029573,Appropriative
A029573,Appropriative
A015708,Appropriative
A021132,Appropriative
S023120,Statement of Div and Use
