"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"A017745",NA,"",5.6,"Acre-feet per Year"
"A017795",NA,"",35,"Acre-feet per Year"
"A017833",NA,"",3,"Acre-feet per Year"
"A017868",NA,"",53,"Acre-feet per Year"
"A017871",NA,"",13.5,"Acre-feet per Year"
"A017881",NA,"",270,"Acre-feet per Year"
"A017885",NA,"",66.7,"Acre-feet per Year"
"A017911A",NA,"",288,"Acre-feet per Year"
"A017911B",NA,"",94,"Acre-feet per Year"
"A017919",NA,"",28,"Acre-feet per Year"
"A017933",NA,"",42,"Acre-feet per Year"
"A017978",NA,"",73.3,"Acre-feet per Year"
"A017998",NA,"",27,"Acre-feet per Year"
"A017999",NA,"",10.6,"Acre-feet per Year"
"A018060",NA,"",1.6,"Acre-feet per Year"
"A018093A",NA,"",50,"Acre-feet per Year"
"A018093B",NA,"",279,"Acre-feet per Year"
"A018127",NA,"",3,"Acre-feet per Year"
"A018138",NA,"",117,"Acre-feet per Year"
"A018192",NA,"",30,"Acre-feet per Year"
"A018200",NA,"",67,"Acre-feet per Year"
"A018235",NA,"",10,"Acre-feet per Year"
"A018241",NA,"",43.8,"Acre-feet per Year"
"A018274A",NA,"",8.3,"Acre-feet per Year"
"A018274B",NA,"",5.3,"Acre-feet per Year"
"A018277",NA,"",27,"Acre-feet per Year"
"A018328",NA,"",5,"Acre-feet per Year"
"A018392",NA,"",6.1,"Acre-feet per Year"
"A018522",NA,"",23,"Acre-feet per Year"
"A018648",NA,"",5,"Acre-feet per Year"
"A018649",NA,"",960,"Acre-feet per Year"
"A018736",NA,"",14,"Acre-feet per Year"
"A018835",NA,"",14,"Acre-feet per Year"
"A018843",NA,"",38,"Acre-feet per Year"
"A018849",NA,"",25,"Acre-feet per Year"
"A018948",NA,"",45,"Acre-feet per Year"
"A018958",NA,"",15,"Acre-feet per Year"
"A018963",NA,"",8,"Acre-feet per Year"
"A019013",NA,"",17,"Acre-feet per Year"
"A019071",NA,"",57,"Acre-feet per Year"
"A019089",NA,"",90,"Acre-feet per Year"
"A019135",NA,"",1,"Acre-feet per Year"
"A019140",NA,"",0.1,"Acre-feet per Year"
"A019200",NA,"",20,"Acre-feet per Year"
"A019241",NA,"",36,"Acre-feet per Year"
"A019336",NA,"",6.7,"Acre-feet per Year"
"A019339",NA,"",74,"Acre-feet per Year"
"A019351",NA,"",375316,"Acre-feet per Year"
"A019422",NA,"",42,"Acre-feet per Year"
