APPLICATION_NUMBER,WATER_RIGHT_TYPE
A025025,Appropriative
A025025,Appropriative
A025025,Appropriative
A025028,Appropriative
A025032,Appropriative
A025036,Appropriative
A025052,Appropriative
A025065,Appropriative
A025070,Appropriative
A025084,Appropriative
A025087,Appropriative
A025088,Appropriative
A025110,Appropriative
A025123,Appropriative
A025125,Appropriative
A025137,Appropriative
A025154,Appropriative
A025154,Appropriative
A025157,Appropriative
A025201,Appropriative
A025207,Appropriative
A025222,Appropriative
A025268,Appropriative
A025282,Appropriative
A025298A,Appropriative
A025298B,Appropriative
A025301,Appropriative
A025325,Appropriative
A025334,Appropriative
A025344,Appropriative
A025344,Appropriative
A025363,Appropriative
A025367,Appropriative
A025393A,Appropriative
A025393B,Appropriative
A025394,Appropriative
A025405,Appropriative
A025524,Appropriative
A025524,Appropriative
A025583,Appropriative
A025596,Appropriative
A025600,Appropriative
A025623,Appropriative
A025674,Appropriative
A025682,Appropriative
A025691,Appropriative
A025694,Appropriative
A025740,Appropriative
A025740,Appropriative
A025749A,Appropriative
A025749A,Appropriative
A025749B,Appropriative
A025749B,Appropriative
A025762,Appropriative
A025773,Appropriative
A025822A,Appropriative
A025822B,Appropriative
A025823A01,Appropriative
A025823A01,Appropriative
A025823A02,Appropriative
A025823A03,Appropriative
A025823B,Appropriative
A025823B,Appropriative
A025830,Appropriative
A025831,Appropriative
A025850,Appropriative
A025850,Appropriative
A025869,Appropriative
A025887A,Appropriative
A025887A,Appropriative
A025887A,Appropriative
A025887A,Appropriative
A025887B,Appropriative
A025887B,Appropriative
A025887B,Appropriative
A025888A,Appropriative
A025888B,Appropriative
A025939,Appropriative
A025940,Appropriative
A025964,Appropriative
A025998,Appropriative
A026016,Appropriative
A026022A,Appropriative
A026022B,Appropriative
A026055A,Appropriative
A026055B,Appropriative
A026055B,Appropriative
A026079,Appropriative
A026110,Appropriative
A026111,Appropriative
A026111,Appropriative
A026113,Appropriative
A026143,Appropriative
A026181,Appropriative
A026182,Appropriative
A026183,Appropriative
A026184,Appropriative
