APPLICATION_NUMBER,effective_date,effective_from_date,effective_to_date
A015057,10/21/1952,07/12/2018,NULL
A015071,11/03/1952,06/08/2004,NULL
A015073,11/05/1952,04/11/2001,NULL
A015083,08/14/2001,04/17/2023,NULL
A015113SF,12/11/1952,09/15/1994,NULL
A015123,12/15/1952,02/23/2016,NULL
A015152,01/12/1953,09/15/1994,NULL
A015154A,10/31/2000,10/04/2017,NULL
A015158A,01/28/2020,01/28/2020,NULL
A015158B,01/22/2020,01/22/2020,NULL
A015172,10/24/1957,04/11/2021,NULL
A015175,08/08/2007,09/15/1994,NULL
A015178,01/29/1953,09/15/1994,NULL
A015197,02/16/1953,01/14/1998,NULL
A015236,03/13/1953,02/08/2011,NULL
A015271,04/02/1953,01/11/2001,NULL
A015274,06/15/2004,09/15/1994,NULL
A015277,04/06/1953,07/12/2012,NULL
A015338,05/12/1953,06/28/2021,NULL
A015345,06/09/1958,01/25/2007,NULL
A015346,05/18/1953,05/17/2023,NULL
A015375,09/16/1959,09/15/1994,NULL
A015407,07/09/1953,09/15/1994,NULL
A015414,05/15/2002,NULL,NULL
A015490,08/31/1953,09/15/1994,NULL
A015492,08/31/1953,09/15/1994,NULL
A015511,08/31/1953,09/15/1994,NULL
A015514,08/31/1953,09/15/1994,NULL
A015519,08/15/2006,09/15/1994,NULL
A015565,07/05/2005,09/15/1994,NULL
A015583,10/23/1953,12/15/1995,NULL
A015588,10/27/1953,06/20/2012,NULL
A015597,11/06/1953,03/03/2021,NULL
A015610,11/12/1953,09/15/1994,11/02/2022
A015623,08/02/2005,09/15/1994,NULL
A015653,12/16/1953,01/06/2011,NULL
A015662,12/28/1953,01/07/2005,NULL
A015677,01/11/1954,03/26/2019,NULL
A015680,01/11/1954,03/04/2019,NULL
A015681,01/12/1954,05/11/2004,NULL
A015686,01/15/1954,09/15/1994,NULL
A015687,01/15/1954,03/30/2022,NULL
A015689,08/09/2005,09/15/1994,NULL
A015691,01/19/1954,01/06/2021,NULL
A015706,01/28/1954,06/20/2013,NULL
A015708,02/01/1954,12/05/2014,NULL
A015719,02/05/1954,09/15/1994,NULL
A015737,10/24/1961,09/15/1994,NULL
A015770,03/10/1954,08/02/2018,NULL
A015780,03/17/1954,09/15/1994,NULL
A015782,03/17/1954,09/15/1994,NULL
A015826,04/09/1954,09/15/1994,NULL
A015856,08/15/2008,01/03/1995,NULL
A015870,05/12/1954,09/15/1994,NULL
A015884,05/24/1954,03/17/2017,NULL
A015894,06/07/1954,05/25/2012,NULL
A015896,10/06/2015,01/31/2011,NULL
A015898,06/07/1954,05/11/2004,NULL
A015934,01/04/2002,01/13/1999,NULL
A015943,06/08/2000,NULL,NULL
A015987,08/09/1954,06/02/2017,NULL
A016021,08/30/1954,09/15/1994,NULL
A016024,11/03/2021,03/22/2018,NULL
A016031,09/07/1954,09/15/1994,NULL
A016037,09/08/1954,11/19/2012,NULL
A016038,09/10/1954,08/25/2006,NULL
A016047,09/15/1954,09/15/1994,NULL
A016078,03/05/1973,12/03/2004,NULL
A016084,10/08/1954,12/07/2017,NULL
A016098,10/18/1954,09/15/1994,NULL
A016113,10/25/1954,03/31/2011,NULL
A016125,11/04/1954,12/22/2008,NULL
A016154,11/29/1954,09/15/1994,NULL
A016157,11/29/1954,08/15/2007,NULL
A016166,08/20/2020,09/15/1994,NULL
A016185,06/05/1967,09/15/1994,NULL
A016216,01/24/1955,05/19/2011,NULL
A016289,06/14/2022,04/19/2010,NULL
A016297,10/02/2020,11/29/2018,NULL
A016307,04/08/1955,04/09/2018,NULL
A016321,03/21/2012,12/08/2011,NULL
A016327,04/07/1967,09/07/2005,NULL
A016362B,09/06/2022,09/06/2022,NULL
A016368B,09/20/1982,09/02/2021,NULL
A016373E,06/03/1991,09/18/2021,NULL
A016380,05/17/1955,03/28/2000,NULL
A016416,06/13/1955,03/07/2018,NULL
A016424,06/20/1955,09/15/1994,NULL
A016430,10/15/2020,07/01/2003,NULL
A016431,06/21/1955,08/28/2023,NULL
A016456,03/06/2006,08/31/2005,NULL
A016463,07/13/1955,04/23/1999,NULL
A016469,07/18/1955,09/15/1994,NULL
A016489,03/07/2019,09/15/1994,NULL
A016528A,11/17/1983,09/15/1994,NULL
A016528B,11/17/1983,03/16/2006,NULL
A016530,08/17/1955,05/14/1996,NULL
A016545,08/23/1955,08/20/2008,NULL
A016555,06/20/2011,09/15/1994,NULL
A016560,08/30/1955,09/15/1994,NULL
A016562,08/31/1955,01/13/1995,NULL
A016586,09/06/1955,06/29/2004,NULL
A016592,09/08/1955,06/18/2015,NULL
A016594,03/03/2006,09/15/1994,NULL
A016604,09/15/1955,07/13/2005,NULL
A016618,11/22/2006,11/28/2006,NULL
A016654,10/10/1955,05/22/2023,NULL
A016656,10/10/1955,03/14/1997,NULL
A016677,09/07/1967,09/15/1994,NULL
A016731,11/09/1955,03/24/2019,NULL
A016747,11/25/1955,06/17/2011,NULL
A016750,11/28/1955,08/07/1996,NULL
A016751,05/03/2005,09/15/1994,NULL
A016754,11/30/1955,09/15/1994,NULL
A016763,12/05/1955,09/15/1994,NULL
A016774,12/07/1955,09/15/1994,NULL
A016780,06/19/1991,09/20/2002,NULL
A016787,12/12/1955,05/28/2008,NULL
A016795,12/15/1955,10/23/2012,NULL
A016809,12/22/1955,06/18/2019,NULL
