"APPLICATION_NUMBER","Annual_Demand_2017_2019","Annual_Demand_2017_2020","Annual_Demand_2017_2022"
"S008628",29.6,30.04,25.27
"S025401",4.11,4.16,3.59
"S021358",0.06,0.05,0.03
"S015358",201.47,156.95,134.98
"S002059",0,0,0
"S002341",0,0,4.5
"S002379",0,0,0
"S004241",0,0,0
"S004997",0,0,0
"S006298",0,0,0
"S006491",1.71,2.56,1.88
"S008071",103.47,103.47,103.47
"S008074",0,0,0
"S008075",0,NA,NA
"S008080",0,0,0
"S008081",0,0,0
"S008082",0,0,0
"S008118",0,NA,NA
"S008121",0,0,0
"S008122",0,0,0
"S008128",56.79,59.85,49.39
"S008163",7.51,NA,NA
"S008184",2.8,2.12,1.42
"S008348",0,0,0
"S008384",0,0,0
"S008392",1.12,0.84,0.56
"S008451",0,0,0
"S008453",3.2,6.27,7.8
"S008596",5.45,6.06,6.57
"S008659",0,0,0
"S008703",0,0,0
"S008765",18.27,17.98,19.13
"S008766",11.79,11.39,10.51
"S008824",0,NA,NA
