"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"S025792",0.697,"Acre-feet",0,"Acre-feet per Year"
"S025888",0.0086,"Acre-feet",0,"Acre-feet per Year"
"S025890",0.04,"Acre-feet",0,"Acre-feet per Year"
"S025893",0,"Acre-feet",0,"Acre-feet per Year"
"S026053",0.9477,"Acre-feet",0,"Acre-feet per Year"
"S026323",0.4036,"Acre-feet",0,"Acre-feet per Year"
"S026464",0.0829,"Acre-feet",0,"Acre-feet per Year"
"S026633",0.0027,"Acre-feet",0,"Acre-feet per Year"
"S026643",0.178,"Acre-feet",0,"Acre-feet per Year"
"S026656",0,"Acre-feet",0,"Acre-feet per Year"
"S026690",0.006,"Acre-feet",0,"Acre-feet per Year"
"S026792",0.023,"Acre-feet",0,"Acre-feet per Year"
"S026853",2.0255,"Acre-feet",0,"Acre-feet per Year"
"S027081",0,"Acre-feet",0,"Acre-feet per Year"
"S027091",0.58,"Acre-feet",0,"Acre-feet per Year"
"S027251",10,"Acre-feet",0,"Acre-feet per Year"
"S027304",0.589,"Acre-feet",0,"Acre-feet per Year"
"S027456",0.09,"Acre-feet",0,"Acre-feet per Year"
"S027491",0.055,"Acre-feet",0,"Acre-feet per Year"
"S027572",0.104,"Acre-feet",0,"Acre-feet per Year"
"S027597",0.068,"Acre-feet",0,"Acre-feet per Year"
"S027650",0.116,"Acre-feet",0,"Acre-feet per Year"
"S027747",0.2087,"Acre-feet",0,"Acre-feet per Year"
"S027768",0.0184,"Acre-feet",0,"Acre-feet per Year"
"S027965",0.0095,"Acre-feet",0,"Acre-feet per Year"
"S027997",0.45,"Acre-feet",0,"Acre-feet per Year"
"S028034",53.68,"Acre-feet",0,"Acre-feet per Year"
"S028035",9.84,"Acre-feet",0,"Acre-feet per Year"
"S028257",0.4484,"Acre-feet",0,"Acre-feet per Year"
"S028364",0.1105,"Acre-feet",0,"Acre-feet per Year"
